,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,bedrooms per total rooms
133,-116.06,34.15,15.0,10377.0,2331.0,4507.0,1807.0,2.2466,66800.0,0.2246313963573287
191,-116.36,33.88,11.0,12557.0,3098.0,2453.0,1232.0,1.7844,78500.0,0.24671497969260173
198,-116.38,33.73,10.0,11836.0,2405.0,3811.0,1570.0,4.0079,134500.0,0.20319364650219668
201,-116.39,33.82,15.0,11115.0,2257.0,4122.0,1653.0,2.7219,74400.0,0.20305892937471884
229,-116.47,33.81,7.0,10105.0,2481.0,6274.0,2095.0,2.4497,90900.0,0.245522018802573
249,-116.52,33.82,21.0,10227.0,2315.0,3623.0,1734.0,2.5212,145200.0,0.22636159186467195
253,-116.53,33.85,16.0,10077.0,2186.0,3048.0,1337.0,2.9647,110900.0,0.21692964175845986
355,-116.91,33.75,13.0,10886.0,2127.0,4266.0,1955.0,2.3169,123400.0,0.19538857247841265
403,-116.95,33.79,8.0,10997.0,2205.0,5060.0,1949.0,2.1979,95300.0,0.2005092297899427
420,-116.95,32.79,19.0,11391.0,3093.0,7178.0,2905.0,2.0326,123200.0,0.2715301553858309
493,-116.99,33.77,7.0,10352.0,2007.0,3559.0,1689.0,2.2925,113100.0,0.19387557959814528
496,-116.99,33.73,13.0,16148.0,3474.0,6159.0,3232.0,1.9961,97800.0,0.21513500123854348
544,-117.01,32.83,17.0,15401.0,3280.0,7302.0,3176.0,3.3067,121900.0,0.21297318355950912
1444,-117.19,33.9,3.0,21060.0,3366.0,9623.0,2812.0,4.189,143000.0,0.15982905982905982
1548,-117.22,34.54,8.0,12526.0,2495.0,6133.0,2324.0,2.9072,119200.0,0.19918569375698547
1557,-117.22,33.92,5.0,16884.0,2865.0,9509.0,2688.0,4.0938,130900.0,0.1696872778962331
1605,-117.23,33.94,7.0,13195.0,2696.0,6763.0,2437.0,3.5851,142000.0,0.20431981811292155
1606,-117.23,33.89,5.0,11775.0,2031.0,6686.0,1911.0,4.1953,136600.0,0.17248407643312103
1721,-117.25,33.95,5.0,13096.0,2208.0,6780.0,2180.0,4.2775,138700.0,0.1686010995723885
2081,-117.34,34.1,14.0,11827.0,2445.0,6640.0,2299.0,2.4878,103800.0,0.2067303627293481
2086,-117.34,33.98,10.0,17286.0,4952.0,9851.0,4616.0,1.7579,103400.0,0.2864746037255583
2104,-117.35,34.44,9.0,11810.0,2181.0,6716.0,2081.0,3.1821,95600.0,0.1846740050804403
2132,-117.36,34.48,3.0,16533.0,2549.0,7588.0,2285.0,3.9792,122100.0,0.15417649549386075
2200,-117.38,33.67,17.0,10145.0,2306.0,4776.0,1749.0,2.2423,132600.0,0.22730409068506655
2220,-117.4,34.15,4.0,12156.0,1864.0,5020.0,1524.0,4.7909,149200.0,0.1533399144455413
2261,-117.42,34.13,4.0,11587.0,1796.0,5804.0,1705.0,4.8283,141900.0,0.15500129455424183
2268,-117.42,33.98,16.0,10072.0,2043.0,5913.0,1909.0,3.0606,119500.0,0.2028395552025417
2274,-117.42,33.35,14.0,25135.0,4819.0,35682.0,4769.0,2.5729,134400.0,0.19172468669186393
